,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA67_ST26,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST37,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST22,99.99,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST7,99.99,100.0,100.0,100.0,8760,8760,8760,99.98,99.06,0.02
SA67_ST18,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST16,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST14,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST25,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST20,99.99,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST27,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST24,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST30,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST38,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST15,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST9,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST12,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST13,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST21,99.99,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST33,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST8,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST68,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST66,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST63,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST51,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST55,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST61,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST64,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST67,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST43,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST60,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST49,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST42,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST58,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST69,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA67_ST54,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST39,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST50,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST48,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST46,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST57,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST52,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST59,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST56,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST62,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST70,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST47,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST41,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST44,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST45,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST53,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST65,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST40,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST100,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST98,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST95,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST83,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST87,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST93,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST96,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST99,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST75,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST92,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST81,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST74,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST90,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST101,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST86,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST71,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST82,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST80,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST78,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST89,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
